date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:19:35	224844/224844	---M--	200	added ('OK')	application/pdf	etag:%2236e4c-557ad487198ba%22	https://www3.nd.edu/~jquigle2/GSTS%20SP17/SP17Week4.pdf	www3.nd.edu/_jquigle2/GSTS%20SP17/SP17Week4.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP17/GSTS%20SP17.html)
08:19:36	224844/224844	---M--	200	added ('OK')	application/pdf	etag:%2236e4c-557ad487b4932%22	https://www3.nd.edu/~jquigle2/GSTS%20SP17/SP17Week5.pdf	www3.nd.edu/_jquigle2/GSTS%20SP17/SP17Week5.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP17/GSTS%20SP17.html)
08:19:36	231/231	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:19:36%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20SP17/SP17Week6.pdf	www3.nd.edu/_jquigle2/GSTS%20SP17/SP17Week6.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP17/GSTS%20SP17.html)
08:19:37	232/232	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:19:37%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20SP17/SP17Week6P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP17/SP17Week6P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP17/GSTS%20SP17.html)
08:19:38	231/231	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:19:38%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20SP17/SP17Week7.pdf	www3.nd.edu/_jquigle2/GSTS%20SP17/SP17Week7.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP17/GSTS%20SP17.html)
08:19:39	232/232	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:19:39%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20SP17/SP17Week7P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP17/SP17Week7P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP17/GSTS%20SP17.html)
08:19:40	231/231	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:19:40%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20SP17/SP17Week8.pdf	www3.nd.edu/_jquigle2/GSTS%20SP17/SP17Week8.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP17/GSTS%20SP17.html)
08:19:41	232/232	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:19:41%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20SP17/SP17Week8P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP17/SP17Week8P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP17/GSTS%20SP17.html)
08:19:42	231/231	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:19:42%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20SP17/SP17Week9.pdf	www3.nd.edu/_jquigle2/GSTS%20SP17/SP17Week9.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP17/GSTS%20SP17.html)
08:19:43	232/232	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:19:43%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20SP17/SP17Week9P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP17/SP17Week9P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP17/GSTS%20SP17.html)
08:19:44	232/232	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:19:44%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20SP17/SP17Week10.pdf	www3.nd.edu/_jquigle2/GSTS%20SP17/SP17Week10.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP17/GSTS%20SP17.html)
08:19:45	233/233	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:19:45%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20SP17/SP17Week10P.pdf	www3.nd.edu/_jquigle2/GSTS%20SP17/SP17Week10P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20SP17/GSTS%20SP17.html)
08:19:47	54183/54183	---M--	200	added ('OK')	application/pdf	etag:%22d3a7-557ad47ba9238%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week1P.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week1P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:19:47	127707/127707	---M--	200	added ('OK')	application/pdf	etag:%221f2db-557ad47adb53f%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week1.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week1.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:19:49	134034/134034	---M--	200	added ('OK')	application/pdf	etag:%2220b92-557ad47bd1a96%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week2.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week2.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
